" ",Category,fav,title1,title2,title3,z1,z2,z3,x1,x2,x3,y1,y2,y3,a1,a2,a3,b1,b2,b3
I7,,,DualAudio,Playback,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
I8,,,DualAudio,Playback,w.Z Speed,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J1,,,MIDI File,Playback,(Clocked),TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J2,,,Multisample,2 Audio,Playback,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J3,,,MIDI File,Playback,freeRunning,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J4,,,Audio,Playback,w. End CV,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J5,,,Audio,Recorder,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J6,,,Multisample,Audio,Playback,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J7,,,Mono,Audio,Recorder,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
J8,,,Audio,Playback,w.Crossfade,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K1,,,Wavetable,VCO,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K2,,,Clockable,Wave-,table LFO,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K3,,,Wavetable,Wave-,shaper,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K4,,,Clockable,Wavetable,Envelope,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K5,,,Prgrmable,Quantizer,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K6,,,Clockable,SD Delay,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K7,,,Stereo,Clockable,SD Delay,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
K8,,,Stereo,Clockable,SD Delay,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L1,,,Stereo,Reverb,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L2,,,Mono to,Stereo,Reverb,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L3,,,Dual,Reverb,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L4,,,Dual,Vowel,Filter,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L5,,,Stereo,Chorus,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L6,,,Mono,Chorus,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L7,,,Mixer,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
L8,,,Gate,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M1,,,Delayed,LFO,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M2,,,Scaled,LFO,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M3,,,Logic,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M4,,,Half-wave,Rectifier,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M5,,,Stereo,Filter,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M6,,,Stereo,Tape,Delay,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M7,,,Granular,Pitch,Shifter,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
M8,,,Chaos,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
N1,,,Switch,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
N2,,,Rotary,,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
N5,,,Pulsar,VCO,,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
N8,,,Clockable,SD,PingPong,TODO,,,TODO,,,TODO,,,TODO,,,TODO,,
X1,,,Fake,1 Line,per Algo,Line 1,,,Line 1,,,Line 1,,,Line 1,,,Line 1,,
X2,,,Fake,2 Lines,per Algo,Line 1,Line 2,,Line 1,Line 2,,Line 1,Line 2,,Line 1,Line 2,,Line 1,Line 2,
X3,,,Fake,3 Lines,per Algo,Line 1,Line 2,Line 3,Line 1,Line 2,Line 3,Line 1,Line 2,Line 3,Line 1,Line 2,Line 3,Line 1,Line 2,Line 3
X4,,,Display,Test,All Lines,EELine 1H,EELine 2H,EELing 3H,EELine 1H,EELine 2H,EELing 3H,EELine 1H,EELine 2H,EELing 3H,EELine 1H,EELine 2H,EELing 3H,EELine 1H,EELine 2H,EELing 3H
